Terme anglais;Terme français;Variant anglais;Variant français;Definition anglaise;Définition française;Note anglaise;Note française;Terme lié
topicdoc;topicdoc;;;;;;;
topicmodels;topicmodels;;;;;;;
toponym;toponyme;;;;;;;
toponymy;toponymie;;;;;;;
tosca;tosca;;;;;;;
total question;question totale;;;;;;;
tough-movement;tough-mouvement;;;;;;;
trainable parameter;paramètre entraînable;learnable parameter;paramètre d'apprentissage;The variables in a model that are adjusted during the training process to determine the model's behavior and are fine-tuned based on the input data and corresponding output labels. (Adapted from deeplizard.com);Éléments variables d'un modèle qui définissent son comportement et changent au cours de l'apprentissage de manière à obtenir un modèle répondant à la tâche demandée. (Adapté de Janny et al., Introduction à l'apprentissage profond, 2022);;;
training corpus;corpus d'apprentissage;;;;;;;
training data;données d'entraînement;"training set;training dataset;training split";"données d'apprentissage;jeu de données d'entrainement;jeu de données d'apprentissage;ensemble d'entrainement;ensemble d'apprentissage";;Données utilisées pour entraîner un algorithme d'apprentissage. (Office québécois de la langue française);;;
training epoch;itération d'apprentissage;;"itération;époque d'entrainement;itération d'entrainement";A full training pass over the entire training set such that each example has been processed once. (Google for Developers, Machine Learning Glossary);Cycle d'apprentissage sur l'intégralité d'un jeu de données de manière à ce que chaque exemple ait été vu une fois. (Data Franca);;;
training loss;fonction de perte;training objective;"fonction objective;fonction objectif;perte d'entraînement";A measure representing how far a model's prediction is from its label during a particular training iteration. (Based on Google for Developers, Machine Learning Glossary);;;;
transcoding;transcodage;;;;;;;
transfer learning;apprentissage par transfert;;;A technique in machine learning in which knowledge learned from a task is re-used in order to boost performance on a related task. (Wikipedia);Champ de recherche de l'apprentissage automatique qui vise à transférer des connaissances d'une ou plusieurs tâches sources vers une ou plusieurs tâches cibles. Il peut être vu comme la capacité d’un système à reconnaître et appliquer des connaissances et des compétences, apprises à partir de tâches antérieures, sur de nouvelles tâches ou domaines partageant des similitudes. (Wikipédia);;;
transfer-based machine translation;traduction automatique basée sur le transfert;;;Machine translation approach that involves transferring knowledge from a source language to a target language through an intermediate language. The source text is first translated into an intermediary language, and then this intermediate representation is used to generate the final target language translation.;Approche de la traduction automatique qui repose sur l'utilisation de règles pour transférer les connaissances linguistiques d'une langue source à une langue cible.;;;
transformational grammar;grammaire transformationnelle;;;;;;;
transformer layer;couche de transformer;;;A module found in a transformer that computes self-attention over a sequence followed by an elementwise transformation of the output vectors. (Based on Merrill and Sabharwal, The Parallelism Tradeoff: Limitations of Log-Precision Transformers, in Transactions of the Association for Computational Linguistics, 2023);;;;
transformer;transformeur;self-attention model;"modèle auto-attentif;modèle d'auto-attention";Sequence transduction model based entirely on attention, replacing the recurrent layers most commonly used in encoder-decoder architectures with multi-headed self-attention. (Vaswani et al., 2017, p. 10);« modèle de transduction de séquences entièrement basé sur l'attention, remplaçant les couches récurrentes les plus couramment utilisées dans les architectures encodeur-décodeur par l'auto-attention multi-têtes. » (Vaswani et al., 2017, p. 10);;;
Transformer-based neural machine translation;traduction automatique neuronale à base de transformer;;;An advanced approach to machine translation that utilizes a Transformer neural network and which is characterized by its attention-based architecture.;Modèle de traduction automatique qui utilise des réseaux de neurones pour traduire des phrases ou des textes d'une langue à une autre.;;;
transformers;transformers;;;Transformers provides thousands of pretrained models to perform tasks on different modalities such as text, vision, and audio. (https://github.com/huggingface/transformers);« Transformers fournit des milliers de modèles pré-entraînés pour effectuer des tâches sur différentes modalités telles que le texte, la vision et l'audio. » (source : https://github.com/huggingface/transformers);;;
transitive verb;verbe transitif;;;;;;;
transitivity;transitivité;;;;;;;
translation error rate;métrique TER;"translation edit rate;TER";;;;;;
translation hypothesis;hypothèse de traduction;;;A proposed translation of a source text into a target language that is generated by a machine translation system in order to help evaluate the quality of this system thanks to a metric.;Traduction produite par un système de traduction automatique et utilisé dans le cadre d'une métrique. (ARTES);In such cases, MT is used to obtain translation hypotheses, which must be supervised and corrected by a human agent in a post-editing (PE) stage. This working method is more productive than a completely manual translation, since the translator starts from an initial hypothesis that must be corrected. (Peris and al., Interactive neural machine translation, Computer Speech and Language, 2017)##The quality degree is expressed with a metric obtained by an objective method: the distance between the machine translation, called hypothesis, and the human translation, called reference. (Moré Lòpez, Machine Translationness: a Concept for Machine Translation Evaluation and Detection, 2015);Dans l’approche statistique, plusieurs modèles sont appris sur des corpus parallèles et des corpus monolingues de la langue vers laquelle on traduit. Au cours de la traduction, ces modèles sont utilisés pour calculer des scores qui permettent d’identifier la traduction de meilleur score qui servira de réponse du système (sa meilleure hypothèse). Le développement de ce type d’approche a été grandement facilité grâce à l’apparition d’implémentations de systèmes libres d’utilisation ainsi que de métriques automatiques permettant d’évaluer rapidement la qualité des hypothèses de traduction produites. (Marie, Exploitation d’informations riches pour guider la traduction automatique statistique, 2016);
translation memory;mémoire de traduction;TM;MT;A database created and maintained in order to collect source texts and their corresponding translations (which can be reused or recycled by translators) as they translate new material. (Translation and Localization Glossary, http://advancedlanguage.com);Base de données dont la principale fonction est de retrouver automatiquement des passages déjà traduits, ou de repérer des passages modifiés, qui sont ensuite présentés au traducteur. (Louise L'Écuyer, 2012);;;
translation model;modèle de traduction;translation table;table de traduction;Mathematical relationship between two or more languages which predicts whether expressions in different languages have equivalent meanings. (https://nlp.cs.nyu.edu/tm/index.html);Série de tables de groupes de mots et de leurs équivalents qui permet au moteur de traduction automatique de trouver les mots en langue source pour les remplacer en langue cible, en fonction de la fréquence répertoriée dans une série de textes. (https://www.btb.termiumplus.gc.ca/tpv2guides/guides/chroniq/index-eng.html?lang=eng&lettr=indx_titls&page=9i-_Sdw_Ak98.html);;;
transliteration;translittération;;;;;;;
transmission verb;verbe de transmission;;;;;;;
tree adjoining grammar;grammaire d'arbres adjoints;TAG;TAG;A grammar formalism used in natural language processing to describe the syntax of sentences which represents the structure of a sentence as a hierarchical tree structure, where each node in the tree corresponds to a constituent of the sentence. (Loterre);Formalisme syntaxique qui permet de rendre compte des liens entre les constituants de la phrase utilisée en traduction automatique pour supprimer les ambiguités et augmenter l'exactitude de l'analyse grammaticale des segments. (https://theses.hal.science/tel-02988287/document);;;
treebank;corpus arboré;;;;;;;
TreeTagger;TreeTagger;;;A tool for annotating text with part-of-speech and lemma information. (Loterre);Outil permettant d'annoter des textes avec des informations sur les parties du discours et les lemmes. (Loterre);;;
triglossia;triglossie;;;;;;;
trope;trope;;;;;;;
Tropes;Tropes;;;;;;;
true negative rate;taux de vrais négatifs;"true negative rate;specificity;selectivity";"TNR;spécificité;sélectivité";Proportion of actual negatives that are correctly identified as such by a binary classification test. (Wikidata);Capacité d'un test à donner un résultat négatif lorsque l'hypothèse n'est pas vérifiée. (Data Franca);;;
